"STUDY.ACCESSION","PUBMED.ID","DISEASE.TRAIT","INITIAL.SAMPLE.SIZE","MAPPED_TRAIT","NUMBER.OF.INDIVIDUALS","BROAD.ANCESTRAL.CATEGORY"
"GCST007415",28864454,"Breast cancer (estrogen-receptor positive)","1,325 cases, 1,310 controls","estrogen-receptor positive breast cancer",2635,"NR"
"GCST007416",28864454,"Breast cancer (estrogen-receptor negative)","212 cases, 1,310 controls","estrogen-receptor negative breast cancer",1522,"NR"
"GCST007417",28864454,"Breast cancer (progesterone-receptor negative)","419 cases, 1,310 controls","progesterone-receptor negative breast cancer",1729,"NR"
"GCST007418",28864454,"Breast cancer (HER2 negative)","932 cases, 1,310 controls","HER2 negative breast carcinoma",2242,"NR"
"GCST007419",28864454,"Breast cancer (HER2 positive)","194 cases, 1,310 controls","HER2 Positive Breast Carcinoma",1504,"NR"
"GCST007420",28864454,"Breast cancer (progesterone-receptor positive)","1,049 cases, 1,310 controls","progesterone-receptor negative breast cancer",2359,"NR"
"GCST007443",30643255,"Nasal polyps","86 European ancestry whole-genome sequenced cases, 4,280 European ancestry cases, 13,941 European ancestry whole-genome sequenced controls, 700,740 European ancestry controls","Nasal Cavity Polyp",719047,"European"
"GCST007505",30429480,"Nevus count or cutaneous melanoma","52,506 European ancestry individuals, 12,874 European ancestry cases, 23,203 European ancestry controls","nevus count, cutaneous melanoma",88583,"European"
"GCST007506",30410027,"Prostate cancer","11,708 European ancestry cases, 284,184 European ancestry controls","prostate carcinoma",295892,"European"
"GCST007507",30410027,"Benign prostatic hyperplasia and lower urinary tract symptoms","20,621 European ancestry cases, 280,541 European ancestry controls","lower urinary tract symptom, benign prostatic hyperplasia",301162,"European"
"GCST007512",30410027,"Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)","18,138 European ancestry cases, 277,213 European ancestry controls","lower urinary tract symptom, benign prostatic hyperplasia",295351,"European"
"GCST007514",28700999,"Hepatitis B virus-related hepatocellular carcinoma","195 Han Chinese ancestry cases","hepatocellular carcinoma",195,"East Asian"
"GCST007548",30226466,"Uterine fibroids","15,910 European ancestry cases, 408,571 European ancestry controls","uterine fibroid",424481,"European"
"GCST007552",30529582,"Colorectal cancer","22,775 East Asian ancestry cases, 47,731 East Asian ancestry controls","colorectal cancer",70506,"East Asian"
"GCST007727",28817678,"Acute lymphoblastic leukemia (childhood)","203 Hispanic cases and 96 Native American cases from 323 families","acute lymphoblastic leukemia",203,"Hispanic or Latin American"
"GCST007727",28817678,"Acute lymphoblastic leukemia (childhood)","203 Hispanic cases and 96 Native American cases from 323 families","acute lymphoblastic leukemia",96,"Native American"
"GCST007728",30898391,"Epithelial ovarian cancer","3,238 East Asian ancestry cases, 4,083 East Asian ancestry controls","ovarian carcinoma",7321,"East Asian"
"GCST007842",30714141,"Glioma","992 Han Chinese ancestry cases, 1,008 Han Chinese ancestry controls","glioma",2000,"East Asian"
"GCST007856",30510241,"Colorectal cancer or advanced adenoma","55,105 European ancestry cases, 3,026 East Asian ancestry cases, 65,079 European ancestry controls, 2,268 East Asian ancestry controls","colorectal cancer, colorectal adenoma",5294,"East Asian"
"GCST007856",30510241,"Colorectal cancer or advanced adenoma","55,105 European ancestry cases, 3,026 East Asian ancestry cases, 65,079 European ancestry controls, 2,268 East Asian ancestry controls","colorectal cancer, colorectal adenoma",120184,"European"
"GCST007896",31102405,"Primary central nervous system lymphoma","475 European ancestry cases, 1,134 European ancestry controls","central nervous system non-hodgkin lymphoma",1609,"European"
"GCST007992",31089142,"Colorectal cancer","31,197 European ancestry cases, 61,770 European ancestry controls","colorectal cancer",92967,"European"
"GCST008169",30988330,"Benign prostatic hyperplasia","2,258 European ancestry cases, 398 African and unknown ancestry cases, 6,599 European ancestry controls, 1,164 African and unknown ancestry controls","benign prostatic hyperplasia",8857,"European"
"GCST008169",30988330,"Benign prostatic hyperplasia","2,258 European ancestry cases, 398 African and unknown ancestry cases, 6,599 European ancestry controls, 1,164 African and unknown ancestry controls","benign prostatic hyperplasia",1562,"African unspecified, NR"
"GCST008216",31277774,"Non-muscle-invasive bladder cancer tumour size","633 European ancestry cases","urinary bladder carcinoma, disease progression measurement",633,"European"
"GCST008217",31277774,"Non-muscle-invasive bladder cancer age at diagnosis","653 European ancestry cases","age at diagnosis, urinary bladder carcinoma",653,"European"
"GCST008218",31277774,"Non-muscle-invasive bladder cancer age at diagnosis (< 70 years vs ≥ 70 years)","298 European ancestry cases under 70 years, 355 European ancestry cases 70 years or older","age at diagnosis, urinary bladder carcinoma",653,"European"
"GCST008219",31277774,"Non-muscle-invasive bladder cancer tumour size (< 3 cm vs ≥ 3 cm)","633 European ancestry cases","urinary bladder carcinoma, disease progression measurement",633,"European"
"GCST008220",31277774,"Non-muscle-invasive bladder cancer tumour stage (Tis/T1 vs Ta)","209 European ancestry stage Tis/T1 cases, 444 European ancestry stage Ta cases","urinary bladder carcinoma, disease progression measurement",653,"European"
"GCST008221",31277774,"Non-muscle-invasive bladder cancer tumour grade (G3 vs G2/G1)","207 European ancestry grade G3 cases, 436 European ancestry grade G2/G1 cases","urinary bladder carcinoma, disease progression measurement",643,"European"
"GCST008222",31277774,"Non-muscle-invasive bladder cancer EORTC risk category","311 European ancestry high risk cases, 342 European ancestry low/intermediate risk cases","urinary bladder carcinoma, disease prognosis measurement",653,"European"
"GCST008224",31231134,"Renal cell carcinoma x sex interaction","3,227 European ancestry male cases, 1,992 European ancestry female cases, 4,916 European ancestry male controls, 3,095 European ancestry female controls","sex interaction measurement, renal cell carcinoma",13230,"European"
"GCST008225",31231134,"Renal cell carcinoma","1,992 European ancestry female cases, 3,095 European ancestry female controls","renal cell carcinoma",5087,"European"
"GCST008226",31231134,"Renal cell carcinoma","3,227 European ancestry male cases, 4,916 European ancestry male controls","renal cell carcinoma",8143,"European"
"GCST008231",31226226,"Prostate cancer","2,714 Hispanic or Latin American cases, 5,239 Hispanic or Latin American controls","prostate carcinoma",7953,"Hispanic or Latin American"
"GCST008311",31000673,"Lymphangioleiomyomatosis (sporadic)","426 European ancestry cases, 852 European ancestry controls","Lymphangioleiomyomatosis",1278,"European"
"GCST008371",30104761,"Thyroid cancer","358 European ancestry cases, 407,399 European ancestry controls","thyroid carcinoma",407757,"European"
"GCST008372",30104761,"Colorectal cancer","4,562 European ancestry cases, 382,756 European ancestry controls","colorectal cancer",387318,"European"
"GCST008375",31009812,"Adenocarcinoma in never smokers","1,837 European ancestry cases, 5,355 European ancestry controls","lung adenocarcinoma",7192,"European"
"GCST008376",31009812,"Lung cancer in never smokers","2,676 European ancestry cases, 5,355 European ancestry controls","lung carcinoma",8031,"European"
"GCST008413",27903959,"Core binding factor acute myeloid leukemia","175 European ancestry cases, 218 European ancestry controls","acute myeloid leukemia",393,"European"
"GCST008423",31249589,"Uterine fibroids","8,168 European ancestry cases, 65,134 European ancestry controls, 1,278 African ancestry cases, 1,914 African ancestry  controls","uterine fibroid",73302,"European"
"GCST008423",31249589,"Uterine fibroids","8,168 European ancestry cases, 65,134 European ancestry controls, 1,278 African ancestry cases, 1,914 African ancestry  controls","uterine fibroid",3192,"African unspecified, African American or Afro-Caribbean"
"GCST008493",30289108,"Prostate cancer mortality","245 European ancestry lethal cases, 808 European ancestry long-term survivor cases","survival time, prostate carcinoma",1053,"European"
"GCST008646",31383772,"Gastric cancer","3,771 Chinese ancestry cases, 5,426 Chinese ancestry controls","gastric carcinoma",9197,"East Asian"
"GCST008718",31407831,"Follicular lymphoma or multiple sclerosis","2,686 European ancestry follicular lymphoma cases, 9,772 European ancestry multiple sclerosis cases, 25,256 European ancestry controls","follicular lymphoma, multiple sclerosis",37714,"European"
"GCST008719",31407831,"Follicular lymphoma or rheumatoid arthritis","2,686 European ancestry follicular lymphoma cases, 3,921 European ancestry rheumatoid arthritis cases, 11,959 European ancestry controls","rheumatoid arthritis, follicular lymphoma",18566,"European"
"GCST008720",31407831,"Follicular lymphoma or systemic lupus erythematosus","2,686 European ancestry follicular lymphoma cases, 7,219 European ancestry systemic lupus erythematosus cases, 23,871 European ancestry controls","follicular lymphoma, systemic lupus erythematosus",33776,"European"
"GCST008721",31407831,"Chronic lymphocytic leukemia or multiple sclerosis","2,492 European ancestry chronic lymphocytic leukemia cases, 9,772 European ancestry multiple sclerosis cases, 24,529 European ancestry controls","multiple sclerosis, chronic lymphocytic leukemia",36793,"European"
"GCST008722",31407831,"Diffuse large B-cell lymphoma or multiple sclerosis","3,617 European ancestry diffuse large B-cell lymphoma cases, 9,772 European ancestry multiple sclerosis cases, 24,813 European ancestry controls","diffuse large B-cell lymphoma, multiple sclerosis",38202,"European"
"GCST008723",31407831,"Marginal zone lymphoma or multiple sclerosis","741 European ancestry marginal zone lymphoma cases, 9,772 European ancestry multiple sclerosis cases, 23,367 European ancestry controls","marginal zone B-cell lymphoma, multiple sclerosis",33880,"European"
"GCST008724",31407831,"Chronic lymphocytic leukemia or rheumatoid arthritis","2,492 European ancestry chronic lymphocytic leukemia cases, 3,921 European ancestry rheumatoid arthritis cases, 11,232 European ancestry controls","rheumatoid arthritis, chronic lymphocytic leukemia",17645,"European"
"GCST008725",31407831,"Diffuse large B-cell lymphoma or rheumatoid arthritis","3,617 European ancestry diffuse large B-cell lymphoma cases, 3,921 European ancestry rheumatoid arthritis cases, 11,516 European ancestry controls","diffuse large B-cell lymphoma, rheumatoid arthritis",19054,"European"
"GCST008726",31407831,"Marginal zone lymphoma or rheumatoid arthritis","741 European ancestry marginal zone lymphoma cases, 3,921 European ancestry rheumatoid arthritis cases, 10,070 European ancestry controls","rheumatoid arthritis, marginal zone B-cell lymphoma",14732,"European"
"GCST008727",31407831,"Chronic lymphocytic leukemia or systemic lupus erythematosus","2,492 European ancestry chronic lymphocytic leukemia cases, 7,219 European ancestry systemic lupus erythematosus cases, 23,144 European ancestry controls","systemic lupus erythematosus, chronic lymphocytic leukemia",32855,"European"
"GCST008728",31407831,"Diffuse large B-cell lymphoma or systemic lupus erythematosus","3,617 European ancestry diffuse large B-cell lymphoma cases, 7,219 European ancestry systemic lupus erythematosus cases, 23,428 European ancestry controls","diffuse large B-cell lymphoma, systemic lupus erythematosus",34264,"European"
"GCST008729",31407831,"Marginal zone lymphoma or systemic lupus erythematosus","741 European ancestry marginal zone lymphoma cases, 7,219 European ancestry systemic lupus erythematosus cases, 21,982 European ancestry controls","marginal zone B-cell lymphoma, systemic lupus erythematosus",29942,"European"
"GCST008831",31527586,"Barrett's esophagus  or Esophageal adenocarcinoma","8,998 European and unknown ancestry Barrett's esophagus cases, 4,680 European and unknown ancestry esophageal adenocarcinoma cases, 19,247 European and unknown ancestry controls","esophageal adenocarcinoma, Barrett's esophagus",32925,"European, NR"
